Snapdeal shoppping is equal to smart shopping. Expect More offers and savings from Snapdeal.,0,0,0,1,0
RT @MaybellineIndia: @gauravsood90 Tag your friends and share your favorite runway look from Amazon India Fashion Week to win big. #Maybell...,0,0,0,0,1
"RT @AkashDGarg: @Flipkart surprised to know that on date of delivery, order204082587666458000 get cancelled, not even notified to me. #BigB...",0,1,0,0,0
RT @RetailBizIndia: .@amazon closes in on @Flipkart in #ecommerce traffic https://t.co/0iv91exwDD https://t.co/IkZ9xgM90O,0,0,0,0,1
"@Flipkart @flipkartsupport @punitsoni @_sachinbansal Customer Executive mis-informing, said product is cancelled. Need confirmation on it.",0,1,0,0,0
This is how I pre order iPhone 6S on @Flipkart app http://t.co/Ze4yF3G8fZ,0,0,1,0,0
@Flipkart 9,0,0,0,0,1
2/2 One of @niknakpadywhack's fellow teachers at that school has a Flipkart wishlist for her class: https://t.co/o9NVRNtUTi Help out?,0,0,0,0,1
"@kunalbahl If you are of snapdeal, unable to communicate on return ! nothing happens when try to login or register or return ! Help help",0,1,0,0,0
"RT @Parsahiya: Lock &amp; loaded, are you? Share with us the screenshot of your Shopping Cart &amp; win Flipkart vouchers. Make yourself #BigBillio...",0,0,0,0,1
"@flipkartsupport why u r silent, give me excuses.",0,1,0,0,0
RT @nixxin: lol. cash on delivery was here way before amazon arrived. but that shouldn't stop @seattletimes from ignoring facts https://t.c...,0,1,0,0,0
@_sachinbansal Please help me Sir,0,0,0,0,1
RT @khansujata: @amazonIN today also I got msg for one of my item that delivery attend failed as addressee not available. No one coming for...,0,1,0,0,0
@Snapdeal_Help wat rectified??? Selling a product above mrp s a punishable offence. Its a criminal offence. Who r u to say rectified????,0,1,0,0,0
@flipkartsupport k3 note yellow will it be available for sale or not,0,0,1,0,0
Worst customer servic#flipkart #Notworthbuyingfrmhere #pissedoff #Unhappycustomer #delayeddelivery #miscommunication,0,1,0,0,0
How Twitter Trends Are Created [Snapdeal]: This the email Snapdeal has been sending to *social media influ... https://t.co/lX9LTju3rK #in,0,0,0,0,1
"Amazon to Ban Sale of Apple, Google Video-Streaming Devices - Bloomberg Business a big mistake by India Middle Manag http://t.co/JlDtdYvHZR",0,0,0,0,1
@Paytmcare what revert? I have provided you my bank stmt which shows payTM deducted Rs. 800. You please let me know why did you deduct money,0,1,0,0,0
RT @karmagal91: Participate in #GuveraMusic contest by @GuveraIN Win iPhone 6 Lenovo Tab Flipkart GVs &amp; More @sumkam11 @AryanSarath @Shy...,0,0,0,1,0
@Snapdeal - You guys are pretty good. Amazing offers and savings.,0,0,0,1,0
Wonderful phone offered by @Snapdeal. The memory in OnePlus One helps take along a lot of data. Superb! https://t.co/DXrdOhEfUG,0,0,1,0,0
Shipping charges of 120% of the selling price. Those million $ salaries aren't helping @Flipkart! :-( https://t.co/y8fqCpnhSE,0,0,0,1,0
Download the @Matchify app from here:- https://t.co/iRrqIIt59a Review it and win Moto X Play and @Flipkart Voucher Daily @aditisinha01,0,0,0,0,1
RT @BaniyaDeals: Super Saver Sunday- Everything below Rs. 499 @snapdeal Here http://t.co/CWXYGRhXRo - http://t.co/LmDL0WNDKU,0,0,0,1,0
RT @MaybellineIndia: @YuktiKhanna1 Participate in our #MaybellineAtAIFW giveaway! Share your favorite runway look from Amazon India Fashion...,0,0,0,0,1
@Snapdeal_Help @AAPkaBinny These frauds &amp; cheats won't help. They r here to harass &amp; time waste. Go to consumer forum for help.,0,1,0,0,0
@Flipkart second wish microvwave ovan since winter is coming enjoy hot &amp; tasty food in Diwali https://t.co/nmhb9P14gR,0,0,0,0,1
@Snapdeal_Help This is regarding refund i am waiting from more than 2 months request 05402206 against Order number 7662399425.,0,1,0,0,0
